aircraft_weight_lb,pressure_altitude_ft,engine_speed_rpm,outside_air_temperature_condition,isa_temperature_delta_c,brake_horsepower_percent,true_airspeed_kts,fuel_flow_gph
2550,2000,2550,isa_minus_20_c,-20,83,117,11.1
2550,2000,2550,standard_isa,0,77,118,10.5
2550,2000,2550,isa_plus_20_c,20,72,117,9.9
2550,2000,2500,isa_minus_20_c,-20,78,115,10.6
2550,2000,2500,standard_isa,0,73,115,9.9
2550,2000,2500,isa_plus_20_c,20,68,115,9.4
2550,2000,2400,isa_minus_20_c,-20,69,111,9.6
2550,2000,2400,standard_isa,0,64,110,9.0
2550,2000,2400,isa_plus_20_c,20,60,109,8.5
2550,2000,2300,isa_minus_20_c,-20,61,105,8.6
2550,2000,2300,standard_isa,0,57,104,8.1
2550,2000,2300,isa_plus_20_c,20,53,102,7.7
2550,2000,2200,isa_minus_20_c,-20,53,99,7.7
2550,2000,2200,standard_isa,0,50,97,7.3
2550,2000,2200,isa_plus_20_c,20,47,95,6.9
2550,2000,2100,isa_minus_20_c,-20,47,92,6.9
2550,2000,2100,standard_isa,0,44,90,6.6
2550,2000,2100,isa_plus_20_c,20,42,89,6.3
2550,4000,2600,isa_minus_20_c,-20,83,120,11.1
2550,4000,2600,standard_isa,0,77,120,10.4
2550,4000,2600,isa_plus_20_c,20,72,119,9.8
2550,4000,2550,isa_minus_20_c,-20,79,118,10.6
2550,4000,2550,standard_isa,0,73,117,9.9
2550,4000,2550,isa_plus_20_c,20,68,117,9.4
2550,4000,2500,isa_minus_20_c,-20,74,115,10.1
2550,4000,2500,standard_isa,0,69,115,9.5
2550,4000,2500,isa_plus_20_c,20,64,114,8.9
2550,4000,2400,isa_minus_20_c,-20,65,110,9.1
2550,4000,2400,standard_isa,0,61,109,8.5
2550,4000,2400,isa_plus_20_c,20,57,107,8.1
2550,4000,2300,isa_minus_20_c,-20,58,104,8.2
2550,4000,2300,standard_isa,0,54,102,7.7
2550,4000,2300,isa_plus_20_c,20,51,101,7.3
2550,4000,2200,isa_minus_20_c,-20,51,98,7.4
2550,4000,2200,standard_isa,0,48,96,7.0
2550,4000,2200,isa_plus_20_c,20,45,94,6.7
2550,4000,2100,isa_minus_20_c,-20,45,91,6.6
2550,4000,2100,standard_isa,0,42,89,6.4
2550,4000,2100,isa_plus_20_c,20,40,87,6.1
2550,6000,2650,isa_minus_20_c,-20,83,122,11.1
2550,6000,2650,standard_isa,0,77,122,10.4
2550,6000,2650,isa_plus_20_c,20,72,121,9.8
2550,6000,2600,isa_minus_20_c,-20,78,120,10.6
2550,6000,2600,standard_isa,0,73,119,9.9
2550,6000,2600,isa_plus_20_c,20,68,118,9.4
2550,6000,2500,isa_minus_20_c,-20,70,115,9.6
2550,6000,2500,standard_isa,0,65,114,9.0
2550,6000,2500,isa_plus_20_c,20,60,112,8.5
2550,6000,2400,isa_minus_20_c,-20,62,109,8.6
2550,6000,2400,standard_isa,0,57,108,8.2
2550,6000,2400,isa_plus_20_c,20,54,106,7.7
2550,6000,2300,isa_minus_20_c,-20,54,103,7.8
2550,6000,2300,standard_isa,0,51,101,7.4
2550,6000,2300,isa_plus_20_c,20,48,99,7.0
2550,6000,2200,isa_minus_20_c,-20,48,96,7.1
2550,6000,2200,standard_isa,0,45,94,6.7
2550,6000,2200,isa_plus_20_c,20,43,92,6.4
2550,8000,2700,isa_minus_20_c,-20,83,125,11.1
2550,8000,2700,standard_isa,0,77,124,10.4
2550,8000,2700,isa_plus_20_c,20,71,123,9.7
2550,8000,2650,isa_minus_20_c,-20,78,122,10.5
2550,8000,2650,standard_isa,0,72,122,9.9
2550,8000,2650,isa_plus_20_c,20,67,120,9.3
2550,8000,2600,isa_minus_20_c,-20,74,120,10.0
2550,8000,2600,standard_isa,0,68,119,9.4
2550,8000,2600,isa_plus_20_c,20,64,117,8.9
2550,8000,2500,isa_minus_20_c,-20,65,114,9.1
2550,8000,2500,standard_isa,0,61,112,8.6
2550,8000,2500,isa_plus_20_c,20,57,111,8.1
2550,8000,2400,isa_minus_20_c,-20,58,108,8.2
2550,8000,2400,standard_isa,0,54,106,7.8
2550,8000,2400,isa_plus_20_c,20,51,104,7.4
2550,8000,2300,isa_minus_20_c,-20,52,101,7.5
2550,8000,2300,standard_isa,0,48,99,7.1
2550,8000,2300,isa_plus_20_c,20,46,97,6.8
2550,8000,2200,isa_minus_20_c,-20,46,94,6.8
2550,8000,2200,standard_isa,0,43,92,6.5
2550,8000,2200,isa_plus_20_c,20,41,90,6.2
2550,10000,2700,isa_minus_20_c,-20,78,124,10.5
2550,10000,2700,standard_isa,0,72,123,9.8
2550,10000,2700,isa_plus_20_c,20,67,122,9.3
2550,10000,2650,isa_minus_20_c,-20,73,122,10.0
2550,10000,2650,standard_isa,0,68,120,9.4
2550,10000,2650,isa_plus_20_c,20,63,119,8.9
2550,10000,2600,isa_minus_20_c,-20,69,119,9.5
2550,10000,2600,standard_isa,0,64,117,9.0
2550,10000,2600,isa_plus_20_c,20,60,115,8.5
2550,10000,2500,isa_minus_20_c,-20,62,113,8.7
2550,10000,2500,standard_isa,0,57,111,8.2
2550,10000,2500,isa_plus_20_c,20,54,109,7.8
2550,10000,2400,isa_minus_20_c,-20,55,106,7.9
2550,10000,2400,standard_isa,0,51,104,7.5
2550,10000,2400,isa_plus_20_c,20,49,102,7.1
2550,10000,2300,isa_minus_20_c,-20,49,100,7.2
2550,10000,2300,standard_isa,0,46,97,6.8
2550,10000,2300,isa_plus_20_c,20,44,95,6.5
2550,12000,2650,isa_minus_20_c,-20,69,121,9.5
2550,12000,2650,standard_isa,0,64,119,8.9
2550,12000,2650,isa_plus_20_c,20,60,117,8.5
2550,12000,2600,isa_minus_20_c,-20,65,118,9.1
2550,12000,2600,standard_isa,0,61,116,8.5
2550,12000,2600,isa_plus_20_c,20,57,114,8.1
2550,12000,2500,isa_minus_20_c,-20,58,111,8.3
2550,12000,2500,standard_isa,0,54,109,7.8
2550,12000,2500,isa_plus_20_c,20,51,107,7.4
2550,12000,2400,isa_minus_20_c,-20,52,105,7.5
2550,12000,2400,standard_isa,0,49,102,7.1
2550,12000,2400,isa_plus_20_c,20,46,100,6.8
2550,12000,2300,isa_minus_20_c,-20,47,98,6.9
2550,12000,2300,standard_isa,0,44,95,6.6
2550,12000,2300,isa_plus_20_c,20,41,92,6.3
