aircraft_weight_lb,pressure_altitude_ft,best_rate_climb_speed_kias,outside_air_temperature_c,rate_of_climb_fpm
2550,0,74,-20,855
2550,0,74,0,785
2550,0,74,20,710
2550,0,74,40,645
2550,2000,73,-20,760
2550,2000,73,0,695
2550,2000,73,20,625
2550,2000,73,40,560
2550,4000,73,-20,685
2550,4000,73,0,620
2550,4000,73,20,555
2550,4000,73,40,495
2550,6000,73,-20,575
2550,6000,73,0,515
2550,6000,73,20,450
2550,6000,73,40,390
2550,8000,72,-20,465
2550,8000,72,0,405
2550,8000,72,20,345
2550,8000,72,40,285
2550,10000,72,-20,360
2550,10000,72,0,300
2550,10000,72,20,240
2550,10000,72,40,180
2550,12000,72,-20,255
2550,12000,72,0,195
2550,12000,72,20,135
2550,12000,72,40,
