aircraft_weight_lb,pressure_altitude_ft,outside_air_temperature_c,landing_ground_roll_ft,landing_distance_over_50ft_obstacle_ft
2550,0,0,545,1290
2550,0,10,565,1320
2550,0,20,585,1350
2550,0,30,605,1380
2550,0,40,625,1415
2550,1000,0,565,1320
2550,1000,10,585,1350
2550,1000,20,605,1385
2550,1000,30,625,1420
2550,1000,40,650,1450
2550,2000,0,585,1355
2550,2000,10,610,1385
2550,2000,20,630,1420
2550,2000,30,650,1455
2550,2000,40,670,1490
2550,3000,0,610,1385
2550,3000,10,630,1425
2550,3000,20,655,1460
2550,3000,30,675,1495
2550,3000,40,695,1530
2550,4000,0,630,1425
2550,4000,10,655,1460
2550,4000,20,675,1495
2550,4000,30,700,1535
2550,4000,40,725,1570
2550,5000,0,655,1460
2550,5000,10,680,1500
2550,5000,20,705,1535
2550,5000,30,725,1575
2550,5000,40,750,1615
2550,6000,0,680,1500
2550,6000,10,705,1540
2550,6000,20,730,1580
2550,6000,30,755,1620
2550,6000,40,780,1660
2550,7000,0,705,1545
2550,7000,10,730,1585
2550,7000,20,760,1625
2550,7000,30,785,1665
2550,7000,40,810,1705
2550,8000,0,735,1585
2550,8000,10,760,1630
2550,8000,20,790,1670
2550,8000,30,815,1715
2550,8000,40,840,1755
