aircraft_weight_lb,pressure_altitude_ft,outside_air_temperature_c,takeoff_ground_roll_ft,takeoff_distance_over_50ft_obstacle_ft
2200,0,0,610,1055
2200,0,10,655,1130
2200,0,20,705,1205
2200,0,30,760,1290
2200,0,40,815,1380
2200,1000,0,665,1145
2200,1000,10,720,1230
2200,1000,20,770,1315
2200,1000,30,830,1410
2200,1000,40,890,1505
2200,2000,0,725,1250
2200,2000,10,785,1340
2200,2000,20,845,1435
2200,2000,30,905,1540
2200,2000,40,975,1650
2200,3000,0,795,1365
2200,3000,10,860,1465
2200,3000,20,925,1570
2200,3000,30,995,1685
2200,3000,40,1065,1805
2200,4000,0,870,1490
2200,4000,10,940,1605
2200,4000,20,1010,1725
2200,4000,30,1090,1855
2200,4000,40,1165,1975
2200,5000,0,955,1635
2200,5000,10,1030,1765
2200,5000,20,1110,1900
2200,5000,30,1195,2035
2200,5000,40,1275,2175
2200,6000,0,1050,1800
2200,6000,10,1130,1940
2200,6000,20,1220,2090
2200,6000,30,1310,2240
2200,6000,40,1400,2395
2200,7000,0,1150,1985
2200,7000,10,1245,2145
2200,7000,20,1340,2305
2200,7000,30,1435,2475
2200,7000,40,1540,2650
2200,8000,0,1270,2195
2200,8000,10,1370,2375
2200,8000,20,1475,2555
2200,8000,30,1580,2745
2200,8000,40,1695,2950
2400,0,0,745,1275
2400,0,10,800,1370
2400,0,20,860,1470
2400,0,30,925,1570
2400,0,40,995,1685
2400,1000,0,810,1390
2400,1000,10,875,1495
2400,1000,20,940,1605
2400,1000,30,1010,1720
2400,1000,40,1085,1845
2400,2000,0,885,1520
2400,2000,10,955,1635
2400,2000,20,1030,1760
2400,2000,30,1110,1890
2400,2000,40,1190,2030
2400,3000,0,970,1665
2400,3000,10,1050,1795
2400,3000,20,1130,1930
2400,3000,30,1215,2080
2400,3000,40,1305,2230
2400,4000,0,1065,1830
2400,4000,10,1150,1975
2400,4000,20,1240,2130
2400,4000,30,1335,2295
2400,4000,40,1430,2455
2400,5000,0,1170,2015
2400,5000,10,1265,2180
2400,5000,20,1360,2355
2400,5000,30,1465,2530
2400,5000,40,1570,2715
2400,6000,0,1285,2230
2400,6000,10,1390,2410
2400,6000,20,1500,2610
2400,6000,30,1610,2805
2400,6000,40,1725,3015
2400,7000,0,1415,2470
2400,7000,10,1530,2685
2400,7000,20,1650,2900
2400,7000,30,1770,3125
2400,7000,40,1900,3370
2400,8000,0,1560,2755
2400,8000,10,1690,3000
2400,8000,20,1815,3240
2400,8000,30,1950,3500
2400,8000,40,2095,3790
2550,0,0,860,1465
2550,0,10,925,1575
2550,0,20,995,1690
2550,0,30,1070,1810
2550,0,40,1150,1945
2550,1000,0,940,1600
2550,1000,10,1010,1720
2550,1000,20,1090,1850
2550,1000,30,1170,1990
2550,1000,40,1260,2135
2550,2000,0,1025,1755
2550,2000,10,1110,1890
2550,2000,20,1195,2035
2550,2000,30,1285,2190
2550,2000,40,1380,2355
2550,3000,0,1125,1925
2550,3000,10,1215,2080
2550,3000,20,1310,2240
2550,3000,30,1410,2420
2550,3000,40,1515,2605
2550,4000,0,1235,2120
2550,4000,10,1335,2295
2550,4000,20,1440,2480
2550,4000,30,1550,2685
2550,4000,40,1660,2880
2550,5000,0,1355,2345
2550,5000,10,1465,2545
2550,5000,20,1585,2755
2550,5000,30,1705,2975
2550,5000,40,1825,3205
2550,6000,0,1495,2605
2550,6000,10,1615,2830
2550,6000,20,1745,3075
2550,6000,30,1875,3320
2550,6000,40,2010,3585
2550,7000,0,1645,2910
2550,7000,10,1785,3170
2550,7000,20,1920,3440
2550,7000,30,2065,3730
2550,7000,40,2215,4045
2550,8000,0,1820,3265
2550,8000,10,1970,3575
2550,8000,20,2120,3880
2550,8000,30,2280,4225
2550,8000,40,2450,4615
