aircraft_weight_lb,pressure_altitude_ft,climb_speed_kias,rate_of_climb_fpm,elapsed_time_from_sea_level_min,fuel_used_from_sea_level_gal,ground_distance_from_sea_level_nm
2550,0,74,730,0,0.0,0
2550,1000,73,695,1,0.4,2
2550,2000,73,655,3,0.8,4
2550,3000,73,620,4,1.2,6
2550,4000,73,600,6,1.5,8
2550,5000,73,550,8,1.9,10
2550,6000,73,505,10,2.2,13
2550,7000,73,455,12,2.6,16
2550,8000,72,410,14,3.0,19
2550,9000,72,360,17,3.4,22
2550,10000,72,315,20,3.9,27
2550,11000,72,265,24,4.4,32
2550,12000,72,220,28,5.0,38
